Collapse ID,Location,Date of Collapse,Composition ,Deposit Volume (x106m3),Volume at time of collapse (x106m3),proportion collapsed
1,"SHV, Montserrat",31/03/1996,A,,9,
2,"SHV, Montserrat",3/04/1996,A,0.2,,
3,"SHV, Montserrat",12/05/1996,A,0.4,15.3,0.0261
4,"SHV, Montserrat",29/07/1996,A,2.3,24.9,0.092
5,"SHV, Montserrat",31/07/1996,A,0.8,23,0.035
6,"SHV, Montserrat",4/08/1996,A,2.3,23,0.1
7,"SHV, Montserrat",11/08/1996,A,2.7,25,0.108
8,"SHV, Montserrat",21/08/1996,A,2.2,26,0.085
9,"SHV, Montserrat",2/09/1996,A,1.5,27,0.056
10,"SHV, Montserrat",3/09/1996,A,3,30.7,0.085
11,"SHV, Montserrat",4/09/1996,A,,30.75,
12,"SHV, Montserrat",17/09/1996,A,9.5,27,0.352
13,"SHV, Montserrat",19/12/1996,A,3.1,22.9,0.135
14,"SHV, Montserrat",8/01/1997,A,0.97,35.6,0.0272
15,"SHV, Montserrat",9/01/1997,A,1.5,31,0.048
16,"SHV, Montserrat",13/01/1997,A,1.5,34,0.044
17,"SHV, Montserrat",16/01/1997,A,2.3,34,0.068
18,"SHV, Montserrat",20/01/1997,A,2.3,34.3,0.067
19,"SHV, Montserrat",30/03/1997,A,2.3,42.3,0.047
20,"SHV, Montserrat",31/03/1997,A,0.8,40,0.02
21,"SHV, Montserrat",11/04/1997,A,2.3,43,0.053
22,"SHV, Montserrat",15/05/1997,A,1.9,58.76,0.0323
23,"SHV, Montserrat",5/06/1997,A,0.375,64.57,0.0058
24,"SHV, Montserrat",14/06/1997,A,,,
25,"SHV, Montserrat",17/06/1997,A,0.766,,
26,"SHV, Montserrat",25/06/1997,A,4.9,68,0.072
27,"SHV, Montserrat",30/06/1997,A,,,
28,"SHV, Montserrat",3/08/1997,A,7,81,0.086
29,"SHV, Montserrat",21/09/1997,A,11,61.6,0.179
30,"SHV, Montserrat",4/11/1997,A,1.5,64.1,0.023
31,"SHV, Montserrat",6/11/1997,A,4.6,65,0.071
32,"SHV, Montserrat",26/12/1997,A,46,94.9,0.496
33,"SHV, Montserrat",23/05/1998,A,,,
34,"SHV, Montserrat",5/06/1998,A,1.5,,
35,"SHV, Montserrat",3/07/1998,A,19,93,0.204
36,"SHV, Montserrat",13/10/1998,A,,88,
37,"SHV, Montserrat",18/10/1998,A,,,
38,"SHV, Montserrat",20/10/1998,A,,,
39,"SHV, Montserrat",26/10/1998,A,,,
40,"SHV, Montserrat",31/10/1998,A,,,
41,"SHV, Montserrat",5/11/1998,A,0.8,77,0.01
42,"SHV, Montserrat",12/11/1998,A,2.5,76,0.033
43,"SHV, Montserrat",19/12/1998,A,,,
44,"SHV, Montserrat",23/05/1999,A,,,
45,"SHV, Montserrat",5/06/1999,A,1.5,,
46,"SHV, Montserrat",20/07/1999,A,4.2,64,0.066
47,"SHV, Montserrat",20/03/2000,A,28,,
48,"SHV, Montserrat",29/07/2001,A,45,,
49,"SHV, Montserrat",14/10/2001,A,,,
50,"SHV, Montserrat",16/10/2001,A,,,
51,"SHV, Montserrat",28/12/2001,A,,,
52,"SHV, Montserrat",29/09/2002,A,3,,
53,"SHV, Montserrat",2/10/2002,A,4,,
54,"SHV, Montserrat",8/12/2002,A,5,,
55,"SHV, Montserrat",12/07/2003,A,164,240,0.683
56,"SHV, Montserrat",3/03/2004,A,,,
57,"SHV, Montserrat",28/02/2006,A,,,
58,"SHV, Montserrat",20/05/2006,A,97,85.2,1.138497653
59,"SHV, Montserrat",30/06/2006,A,2,27,0.0741
60,"SHV, Montserrat",8/01/2007,A,5,191,0.0262
61,"SHV, Montserrat",29/07/2008,A,2.5,203,0.0123
62,"SHV, Montserrat",25/08/2008,A,,,
63,"SHV, Montserrat",3/12/2008,A,,,
64,"SHV, Montserrat",30/10/2009,A,,218,
65,"SHV, Montserrat",30/12/2009,A,,243.1,
66,"SHV, Montserrat",18/01/2010,A,3.4,241.9,0.014
67,"SHV, Montserrat",11/02/2010,A,45,248,0.1815
68,"SHV, Montserrat",29/08/2012,A,,,
69,"SHV, Montserrat",28/03/2013,A,,,
70,Unzen,24/05/1991,D,,,
71,Unzen,26/05/1991,D,,,
72,Unzen,3/06/1991,D,,,
73,Unzen,8/06/1991,D,1,,
74,Unzen,11/06/1991,D,,,
75,Unzen,25/07/1991,D,,,
76,Unzen,26/07/1991,D,,,
77,Unzen,15/09/1991,D,1,2.4,0.416
78,Unzen,28/09/1991,D,,1.6,
79,Unzen,8/11/1991,D,0.01,12,
80,Unzen,2/02/1992,D,,,
81,Unzen,12/02/1992,D,,,
82,Unzen,25/02/1992,D,0.01,2.25,0.004444444
83,Unzen,1/04/1992,D,,,
84,Unzen,22/04/1992,D,,,
85,Unzen,9/06/1992,D,,,
86,Unzen,14/08/1992,D,,,
87,Unzen,27/09/1992,D,0.1,0.3,0.3333
88,Unzen,3/10/1992,D,0.1,,
89,Unzen,10/10/1992,D,0.1,,
90,Unzen,21/12/1992,D,,,
91,Unzen,9/03/1993,D,,,
92,Unzen,28/04/1993,D,,,
93,Unzen,29/04/1993,D,,,
94,Unzen,21/05/1993,D,0.2,6.73,0.0297
95,Unzen,26/06/1993,D,,6,
96,Unzen,19/07/1993,D,,3,
97,Unzen,3/02/1994,D,,0.46,
98,Unzen,4/02/1994,D,,,
99,Unzen,4/08/1994,D,,0.168,
100,Unzen,25/08/1994,D,,,
101,Unzen,26/10/1994,D,,,
102,Unzen,15/12/1994,D,,,
103,Mt. St. Helens,12/04/1981,D,,,
104,Mt. St. Helens,2/02/1983,D,,43.5,
105,Mt. St. Helens,14/02/1984,D,,44,
106,Mt. St. Helens,9/05/1986,D,0.53,68,0.0078
107,Mt. St. Helens,14/05/1986,D,,,
108,Mt. St. Helens,5/10/1986,D,,74.1,
109,Mt. St. Helens,6/09/2005,D,,62,
110,Mt. St. Helens,6/05/2006,D,0.05,,
111,Mt. St. Helens,22/10/2006,D,,85,
112,Mt. Lamington,5/03/1951,A,,1000,0.66
113,Merapi,10/01/1823,A,,,
114,Merapi,15/09/1849,A,,,
115,Merapi,15/04/1872,A,,,
116,Merapi,12/10/1920,A,,,
117,Merapi,18/12/1930,A,,,
118,Merapi,17/11/1934,A,,,
119,Merapi,2/03/1953,A,,,
120,Merapi,18/01/1954,A,11.5,,
121,Merapi,13/04/1961,A,,,
122,Merapi,17/04/1961,A,,,
123,Merapi,27/11/1961,A,42,,0.9
124,Merapi,7/10/1967,A,,,
125,Merapi,7/01/1969,A,,,
126,Merapi,20/09/1973,A,,,
127,Merapi,8/03/1976,A,0.4,1.4,0.2857
128,Merapi,28/02/1977,A,,2.5,
129,Merapi,15/01/1978,A,,,
130,Merapi,15/08/1978,A,,,
131,Merapi,15/08/1979,A,,,
132,Merapi,29/11/1981,A,,,
133,Merapi,1/12/1981,A,1.2,2,0.6
134,Merapi,22/11/1982,A,1.2,1.7,0.7059
135,Merapi,5/10/1983,A,,1.2,
136,Merapi,13/06/1984,A,,3.6,
137,Merapi,15/06/1984,,4.5,3.6,1.25
138,Merapi,10/10/1986,A,,,
139,Merapi,2/07/1987,A,,,
140,Merapi,31/01/1992,A,,6.8,
141,Merapi,26/08/1992,A,,10.5,
142,Merapi,3/02/1993,A,,,
143,Merapi,22/11/1994,A,2.5,2.6,0.9615
144,Merapi,9/08/1996,A,,,
145,Merapi,24/10/1996,A,,0.75,
146,Merapi,28/10/1996,A,,1.1,
147,Merapi,31/10/1996,A,,1.1,
148,Merapi,14/01/1997,A,,,
149,Merapi,11/07/1998,A,,,
150,Merapi,19/07/1998,A,,,
151,Merapi,28/01/2001,A,,1.4,
152,Merapi,10/02/2001,A,,,
153,Merapi,14/01/2001,A,,,
154,Merapi,31/01/2001,A,,,
155,Merapi,5/08/2001,A,,,
156,Merapi,19/08/2001,A,,,
157,Merapi,8/06/2006,A,,4.1,
158,Merapi,9/06/2006,A,1,4.1,0.2439
159,Merapi,14/06/2006,A,1.191,4,0.29775
160,Merapi,14/06/2006,A,2.698,2.81,0.960142349
161,Merapi,30/10/2010,A,,6,
162,Merapi,31/10/2010,A,,,
163,Merapi,1/11/2010,A,,,
164,Merapi,2/11/2010,A,,,
165,Merapi,3/11/2010,A,,5,
166,Merapi,5/11/2010,A,5,5,1
167,Redoubt,2/01/1990,A,7,25,0.8
168,Redoubt,15/02/1990,A,9.5,15,0.75
169,Redoubt,21/02/1990,A,2,3,0.66
170,Redoubt,24/02/1990,A,2.5,3,0.83
171,Redoubt,28/02/1990,A,2,3,0.66
172,Redoubt,4/03/1990,A,3,3,1
173,Redoubt,9/03/1990,A,3,3,1
174,Redoubt,14/03/1990,A,3.5,3,1.16
175,Redoubt,23/03/1990,A,3,3,1
176,Redoubt,29/03/1990,A,2,3,0.66
177,Redoubt,6/04/1990,A,2.5,3,0.83
178,Redoubt,15/04/1990,A,2.5,3,0.83
179,Redoubt,21/04/1990,A,2,3,0.66
180,Redoubt,26/04/1990,A,,,
181,Redoubt,26/05/1990,A,,,
182,"Chaiten Volcano, Chile",23/07/2008,R,10,,
183,"Chaiten Volcano, Chile",19/01/2009,R,,,
184,"Chaiten Volcano, Chile",19/02/2009,R,20,500,0.1
185,"Chaiten Volcano, Chile",29/09/2009,R,,,
186,"Colima Volcano, Mexico",18/01/1913,R,,,
187,"Colima Volcano, Mexico",12/12/1975,A,,1,
188,"Colima Volcano, Mexico",16/04/1991,A,0.6492,,
189,"Colima Volcano, Mexico",18/04/1991,A,,0.3,
190,"Colima Volcano, Mexico",15/06/1991,A,,,
191,"Colima Volcano, Mexico",21/11/1998,A,,0.38,
192,"Colima Volcano, Mexico",10/12/1998,A,1.61,0.38,0.0424
193,"Colima Volcano, Mexico",17/07/1999,A,0.79,,
194,"Colima Volcano, Mexico",11/02/2002,A,,4,
195,"Colima Volcano, Mexico",10/07/2015,A,,,
196,"Colima Volcano, Mexico",10/07/2015,A,2.4,1.5,1.6
197,"Colima Volcano, Mexico",11/07/2015,A,8,,
198,"Santiaguito, Santa Maria, Guatemala",2/11/1929,D,3,700,0.0043
199,"Santiaguito, Santa Maria, Guatemala",19/07/1989,D,,,
200,"Santiaguito, Santa Maria, Guatemala",28/10/2003,D,,,
201,"Santiaguito, Santa Maria, Guatemala",7/01/2004,D,,,
202,"Santiaguito, Santa Maria, Guatemala",10/03/2004,D,,,
203,"Santiaguito, Santa Maria, Guatemala",17/03/2004,D,,,
204,"Santiaguito, Santa Maria, Guatemala",11/10/2004,D,,,
205,"Santiaguito, Santa Maria, Guatemala",17/10/2004,D,,,
206,"Santiaguito, Santa Maria, Guatemala",27/12/2007,D,,,
207,"Santiaguito, Santa Maria, Guatemala",5/02/2008,D,,,
208,"Santiaguito, Santa Maria, Guatemala",15/02/2008,D,,,
209,"Santiaguito, Santa Maria, Guatemala",22/08/2013,D,,,
210,"Santiaguito, Santa Maria, Guatemala",24/08/2013,D,,,
211,"Shiveluch, Kamchatka",19/05/2001,A,,190,
212,"Shiveluch, Kamchatka",10/05/2004,A,40,470,0.085
213,"Shiveluch, Kamchatka",27/02/2005,A,110,,
214,"Shiveluch, Kamchatka",15/07/2005,A,,288,
215,"Shiveluch, Kamchatka",30/04/2007,A,,,
216,"Shiveluch, Kamchatka",4/05/2007,A,,,
217,"Shiveluch, Kamchatka",6/05/2007,A,,,
218,"Shiveluch, Kamchatka",18/12/2007,A,,360,
219,"Shiveluch, Kamchatka",25/06/2009,A,,,
220,"Shiveluch, Kamchatka",27/10/2010,A,280,540,0.518
221,"Shiveluch, Kamchatka",6/03/2013,A,,,
222,"Shiveluch, Kamchatka",26/07/2013,A,,630,
223,"Shiveluch, Kamchatka",3/12/2013,A,,,
224,"Soufriere Volcano, St Vincent",15/10/1902,A,,,
225,"Augustine, Alaska",8/02/1976,A,,66,
226,"Augustine, Alaska",31/08/1986,A,50,,
227,"Augustine, Alaska",7/02/2006,A,,,
228,"Sisters Dome, Taranaki Volcano, New Zealand","After 1755, prior to 1885",A,2.5,5.9,0.4237
229,Mt. Pelee,10/08/1903,A,,100,
230,Mt. Pelee,5/04/1930,A,,,
231,Mt. Pelee,18/04/1930,A,,,
232,Mt. Pelee,28/04/1930,A,,,
233,Mt. Pelee,6/05/1930,A,,,
234,Mt. Pelee,13/05/1930,A,,,
235,Mt. Pelee,18/05/1930,A,,,
236,Nevado de Toluca Volcano,37Ka,A,300,,
237,Nevado de Toluca Volcano,32Ka,A,,,
238,Nevado de Toluca Volcano,28Ka,A,,,
239,Nevado de Toluca Volcano,26Ka,A,,,
240,Nevado de Toluca Volcano,13Ka,A,,,
241,"Paluweh, Flores Islands, Indonesia",6/09/1981,A,,8.5,
242,"Paluweh, Flores Islands, Indonesia",7/02/2013,A,,5.1,
243,"Paluweh, Flores Islands, Indonesia",10/08/2013,A,,,
244,"Bezymianny, Kamchatka",9/10/1984,A,12,,
245,"Bezymianny, Kamchatka",20/06/1998,A,,,
246,"Bezymianny, Kamchatka",31/07/2008,A,,,
247,"Bagana, Papua New Guinea",14/12/1983,A,,60,
248,"Bagana, Papua New Guinea",5/09/1987,A,,,
249,"Bagana, Papua New Guinea",22/01/1989,A,,,
250,"Bagana, Papua New Guinea",14/01/1991,A,,,
251,"Bagana, Papua New Guinea",11/04/1992,A,,,
252,"Bagana, Papua New Guinea",16/06/1992,A,,,
253,"Bagana, Papua New Guinea",18/06/1992,A,,,
254,"Semeru, Indonesia",22/07/1975,A,5.4,,
255,"Semeru, Indonesia",28/03/1981,A,6.2,,
256,"Semeru, Indonesia",16/01/1984,A,6,,
257,"Semeru, Indonesia",10/05/1985,A,5,,
258,"Semeru, Indonesia",10/05/1988,A,,,
259,"Semeru, Indonesia",3/02/1994,A,6.3,,
260,"Semeru, Indonesia",20/07/1995,A,5.5,,
261,Galeras,15/06/1992,A,,0.4,
262,"Karangetang, Sangihe Islands, Indonesia",18/05/1992,A,1.2,6,0.2
263,"Karangetang, Sangihe Islands, Indonesia",3/01/2007,A,,,
264,"Karangetang, Sangihe Islands, Indonesia",28/03/2007,A,,,
265,"Arenal, Costa Rica",18/09/2007,A,,,
266,"Arenal, Costa Rica",24/05/2010,A,,,
267,"Sinabung, Indonesia",30/12/2013,A,,1,
268,"Sinabung, Indonesia",3/01/2014,A,,,
269,"Sinabung, Indonesia",4/01/2014,A,,,
270,"Sinabung, Indonesia",10/01/2014,A,3,3,1
271,"Sinabung, Indonesia",1/02/2014,A,,,
272,"Sinabung, Indonesia",17/06/2014,A,,,
273,"Sinabung, Indonesia",10/07/2014,A,,,
274,"Sinabung, Indonesia",18/10/2015,A,,,
275,"Sinabung, Indonesia",24/08/2016,A,,2.6,
276,"Sinabung, Indonesia",2/08/2017,A,2.28,2.3,0.99
277,"Reventador, Ecuador",25/03/2014,A,,,
278,"Nevado del Huila, Colombia",26/08/2009,A,,59,
279,"Nevado del Huila, Colombia",29/08/2009,A,,,
280,"Nevado del Huila, Colombia",9/09/2009,A,,,
281,"Nevado del Huila, Colombia",6/11/2009,A,,25,
282,"Cleveland, US",23/10/2011,A,,1,
283,"Cerro Pizarro, Mexico",220Ka,R,300,,
284,"Guagua Pichinicha, Ecuador",17/11/1999,D,,,
285,"Guagua Pichinicha, Ecuador",26/11/1999,D,,0.5,
286,"Guagua Pichinicha, Ecuador",28/06/2000,D,,,
287,"Dome K-Cerro Chascon, Cerro Chascon-Runtu Jarita Complex, Southwest Bolivia",1900,R,,4800,
288,"Dome, Catarman Volcano (Hibok-Hibok), Philippines",15/05/1953,D,,,
289,"Chao II, Altiplano-Puna Volcanic Complex",1900,D,,,
290,"Etna, Bocca Nuova dome",25/10/1999,B,,,
291,"San Pedro, Chile",14/03/1905,A,,,
292,"Ruawahia, Part of Tarawera Volcanic Complex, NZ",1314AD,R,60,460,0.1304
293,"Wahanga Dome, Tarawera Volcanic Complex, NZ",1305AD,R,100,200,0.5
